NAME,Total Population,state,congressional district,state_fips,state_abbrev,pct_hispanic_or_latino,pct_asian,pct_american_indian_and_alaska_native,pct_black_or_african_american,pct_white,pct_native_hawaiian_and_other_pacific_islander,pct_some_other_race,pct_two_or_more_races,pct_below_poverty
"Congressional District 4 (116th Congress), Massachusetts",757680.0,Massachusetts,04,25,MA,5.08,6.49,0.05,3.0,82.28,0.03,0.76,2.3,6.78
"Congressional District 7 (116th Congress), Massachusetts",802775.0,Massachusetts,07,25,MA,22.48,10.42,0.19,23.33,40.14,0.06,0.88,2.5,18.51
"Congressional District 2 (116th Congress), Massachusetts",748728.0,Massachusetts,02,25,MA,9.89,5.59,0.2,4.87,76.87,0.06,0.34,2.18,10.9
"Congressional District 9 (116th Congress), Massachusetts",741094.0,Massachusetts,09,25,MA,5.6,1.41,0.22,2.86,85.89,0.02,1.76,2.24,9.04
"Congressional District 6 (116th Congress), Massachusetts",770005.0,Massachusetts,06,25,MA,9.75,4.29,0.11,3.3,80.39,0.03,0.29,1.85,7.51
"Congressional District 8 (116th Congress), Massachusetts",767105.0,Massachusetts,08,25,MA,5.86,8.18,0.15,9.99,72.11,0.03,1.73,1.96,8.29
"Congressional District 1 (116th Congress), Massachusetts",728716.0,Massachusetts,01,25,MA,18.32,2.12,0.14,5.64,71.77,0.01,0.15,1.85,14.03
"Congressional District 5 (116th Congress), Massachusetts",768212.0,Massachusetts,05,25,MA,9.2,11.88,0.09,5.06,70.27,0.02,0.98,2.5,7.53
"Congressional District 1 (116th Congress), Michigan",698033.0,Michigan,01,26,MI,2.01,0.68,2.39,1.42,90.83,0.04,0.06,2.56,13.3
"Congressional District 2 (116th Congress), Michigan",739228.0,Michigan,02,26,MI,9.71,2.25,0.44,6.34,78.62,0.02,0.07,2.55,11.85
"Congressional District 14 (116th Congress), Michigan",691180.0,Michigan,14,26,MI,4.74,5.02,0.25,56.09,31.12,0.04,0.25,2.5,21.68
"Congressional District 3 (116th Congress), Michigan",742923.0,Michigan,03,26,MI,7.5,2.09,0.25,8.04,79.12,0.01,0.08,2.92,12.47
